"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"月風魔伝　～ ビーストメドレー ～","Akhuta","170","4","7","9.4","326","533","823"
"Giant Otter Family","S-C-U","188","3","8","9.5","208","569","761"
"StrayedCatz","削除","151","4","8","10.6","289","582","843"
"ZEPHYRANTHES","TAG","180","4","8","10.4","333","616","844"
"Sephirot","SHIKI","154","5","9.4","10.4","387","776","934"
"Daisuke","Y&Co.","157","3","6","9.1","343","621","871"
"Twinbee's Home Town Song","Sota Fujimori","168","2","6","9.4","162","417","698"
"バビロニア","劇団レコード","164","3","6","8","308","492","644"
"変じゃない!!","good-cool ft.すわひでお","116","2","6","8","224","388","623"
"星宿る空の下で","Akhuta","204","4","7","9.3","307","544","859"
"Phlox","Sota Fujimori 2nd Season","185","4","8","10.1","348","626","757"
"蟲の棲む処","かめりあ feat. Nana Takahashi","161","4","8","10.2","255","500","684"
"六花にくちづけ","Akhuta","210","4","6","8","291","538","694"
"Another Phase","TAG","160","3","7","9.7","248","432","693"
"Alive in my Soul","aran","135","3","6","8","211","479","746"
"キリステゴメン","東雲夏陽","156","5","7","9.3","436","555","755"
"けもののおうじゃ★めうめう","日向美ビタースイーツ♪","162","3","6","8","206","450","697"
"飽和世界","猫叉Master","70-118","3","5","9.1","186","335","541"
"Sulk","SYUNN","150","4","7","9.6","311","645","1000"
"銃弾は解を撃ち抜いて","日向美ビタースイーツ♪","171","4","6","9.0","326","509","782"
"星座が恋した瞬間を。","BEMANI Sound Team ""DJ TOTTO feat.MarL""","186","3","7","9.3","192","570","724"
"たからもの","セリカ&エリカ","182","3","7","9.0","304","652","804"
"Drizzly Venom","日向美ビタースイーツ♪","168","3","6","9.6","152","391","613"
"ナイト・オブ・ロンド","日向美ビタースイーツ♪","169","4","6","8","257","334","455"
"birth","Yu_Asahina","200-220","5","8","10.5","486","814","902"
"Be a Hero!","中島由貴","190","4","8","10.3","314","793","1043"
"風鈴花火","BEMANI Sound Team ""劇団レコード""feat.結良まり","150","2","5","8","168","261","634"
"Fly far bounce","猫叉Master","163","3","6","9.5","154","382","532"
"ミカヅキ:コネクト","かゆき","160","4","7","9.7","294","511","671"
"ミラクル・スイート・スイーツ・マジック！！","日向美ビタースイーツ♪","88-206","3","7","9.0","207","451","717"
"レゾンデートル、前線より","中島由貴","207","4","7","9.0","209","419","680"
"Agnus Dei","あさき","168","4","6","9.6","208","338","609"
"In Your EyEs","kors k","180","5","7","10.5","386","605","981"
"Winter Gift ～クリスピーからの贈りもの～","Qrispy Joybox","178","4","7","9.6","208","433","547"
"おにぎりディスコ","Blanc Bunny Bandit","118","1","4","7","100","278","584"
"革命パッショネイト","日向美ビタースイーツ♪","194","4","7","10.2","302","580","861"
"Catch Our Fire!","中島由貴","190","4","7","10.4","280","701","1026"
"Surf on the Light","Tomoyuki Uchida","160","3","5","10.0","194","349","709"
"Sahara","Hommarju","95-155","4","7","10.2","254","594","904"
"Samba Ramba","Y&Co. feat. Kanae Asaba","160","3","6","9.3","272","583","855"
"シンクロフィッシュ","Blanc Bunny Bandit","182","2","5","8","194","402","666"
"スイーツはとまらない♪","日向美ビタースイーツ♪","204","2","5","8","242","376","590"
"スミスえかきうた","jubeat staff","114","1","5","8","72","180","268"
"拙者拙者拙者拙者","ヒゲドライバー & ゆよゆっぺ","195","3","7","10.2","188","552","820"
"たたえよ！絶対覇権アリーシャ帝国","Blanc Bunny Bandit","100-145","4","7","9.4","249","436","651"
"月影小町","駄々子","182","3","6","9.0","189","438","661"
"熱情のサパデアード","日向美ビタースイーツ♪","136","3","6","8","197","403","709"
"箱庭のエチュード","Blanc Bunny Bandit","138","3","6","8","212","430","773"
"ヒカリユリイカ","ここなつ","140","3","6","8","175","360","565"
"ビター・エスケープ","やぎぬまかな","152","3","6","8","288","559","745"
"50th Memorial Songs -The BEMANI History-","BEMANI Sound Team","136","6","9.0","10.1","229","573","696"
"50th Memorial Songs -二人の時 ～under the cherry blossoms～-","BEMANI Sound Team","160","3","6","9.1","281","416","725"
"50th Memorial Songs -Flagship medley-","BEMANI Sound Team","135-175","4","7","9.5","173","473","673"
"ビューティフル レシート","Lucky Vacuum","196","4","7","10.1","288","451","740"
"ベビーステップ","ここなつ","200","4","6","9.0","224","404","719"
"めた・メタ？ひまわり＊パンチ","ひまわり＊パンチ","177","2","5","9.2","175","349","638"
"あいのうた","肥塚良彦","130","3","4","8","174","317","590"
"I love マミー","荒牧陽子","160","4","5","8","288","384","736"
"In Scottish Highlands","Thomas Howard Lichtenstein","145","3","6","9.8","282","523","693"
"GIGA BREAK","96","135","6","7","9.7","335","449","716"
"Crosswind","Mutsuhiko Izumi","107","3","7","9.8","201","488","705"
"Jumping Boogie","Kozo Nakamura","198","5","7","8","328","477","632"
"Slang","Kozo Nakamura","160","4","7","9.8","316","489","675"
"Chance and Dice","日本少年","150","5","6","7","319","356","443"
"Happy Happy","ki☆ki","130","2","5","8","173","348","531"
"Polaris","Mutsuhiko Izumi","180","2","5","8","202","330","577"
"eyes","小野秀幸","300","3","7","8","202","388","618"
"INVISIBLE WORLD","SILKY F","128","2","7","8","230","461","656"
"ECO FIGHTER","入尾信充","140","3","5","7","182","381","535"
"coming true","GUHROOVY Vs. L.E.D.","175","5","7","9.7","341","660","802"
"Queen's Paradise","Nanako","157","4","6","7","317","408","629"
"コイノチカラ","石阪久美子","162","3","6","8","231","425","524"
"SWEET ANGEL","古川もとあき","150","4","5","9.7","210","370","641"
"STARLIT DUST/スティルに捧ぐ","Des-ROW + ANT","183","4","6","8","292","416","654"
"スペースカーニバル","shooting star","160","4","6","8","264","471","733"
"Macuilxochitl","TOMOSUKE","148","7","8","10.3","396","582","757"
"愛と勇気の三度笠ポン太","荒牧陽子","160","4","6","8","219","387","618"
"KUNG-FU MAMA","seiya-murai feat. ALT","150","3","7","8","323","552","783"
"Green Green Dance","Mutsuhiko Izumi","165","3","7","8","315","672","787"
"Jailbreak","Kozo Nakamura","250","5","6","9.7","342","506","718"
"Shining Wizard","96","158","5","8","9.8","341","585","757"
"Shine On Me","kors k","170","4","7","8","404","602","932"
"STELLAR WIND","L.E.D.","160","6","9.8","10.4","415","713","712"
"STREET DANCER","SILKY F","138","2","6","7","220","441","642"
"Theory of Eternity","TAG","160","4","8","9.3","427","725","858"
"Prophet Vibe","Sota Fujimori feat.Calin","154","3","7","8","296","506","739"
"Love ♡ km","dj TAKA feat. REN","184","3","7","8","268","474","666"
"Ready Go!!","荒牧陽子","220","4","6","8","350","390","530"
"yellow head joe","S-C-U","187","7","10.4","10.4","513","754","765"
"800nm","Another Infinity (Ryu☆×Starving Trancer)","180","5","8","9.1","310","516","610"
"逆ナンされたのにドタキャン!!","good-cool ft. すわひでお","194","4","8","9.7","232","589","757"
"JOMANDA","DJ YOSHITAKA","90-195","7","9.2","10.6","480","757","922"
"Starlight Parade","肥塚良彦","131","4","6","8","206","381","546"
"DOUBLE IMPACT","DOUBLE IMPACT","265","5","6","10.5","372","462","811"
"THIS NIGHT (jubeat EDITION)","TЁЯRA","160","2","5","9.1","177","375","719"
"Devil Fish Dumpling","96","166","4","7","10.1","361","512","733"
"TWINKLE♡HEART","jun","185","3","7","9.2","254","527","722"
"ナナホシ","S-C-U","166","5","7","9.6","287","442","582"
"HEAT-BIT-HIT-BEAT","V.C.O.","180","5","8","9.2","380","795","918"
"Plum","肥塚良彦","256","4","6","9.7","301","528","693"
"FRIENDSHIP","PON","208","4","7","8","221","425","540"
"HEAVENLY MOON","Tatsh","185","4","8","10.4","347","596","886"
"polygon","Sota Fujimori","174","3","5","8","313","411","687"
"瞬","小野秀幸","178","4","7","8","269","444","504"
"Riot of Color","TAG","150","5","8","10.4","291","561","855"
"Rush!!","kors k feat.吉河順央","210","4","7","8","323","568","813"
"Red Goose","Mutsuhiko Izumi","200","5","8","10.5","445","743","891"
"WONDER WALKER","L.E.D.","165","6","8","10.1","544","732","893"
"I/O","Ryu☆","151","4","7","8","310","469","680"
"愛は不死鳥の様に","真紅の薔薇の騎士Prim","192","6","8","10.5","351","648","853"
"Asterism","ZUKI","175","4","7","8","224","425","647"
"アストライアの双皿","ZODIACSYNDICATE","173","6","9.5","10.5","507","776","988"
"attack in the minor key","Mr.T","164","3","6","9.6","243","451","747"
"Amalgamation","Mystic Moon","166","4","7","9.1","271","521","722"
"雨ノチHello","TLION69","189","3","6","9.8","275","437","646"
"Our Faith","kors k","175","4","8","10.6","396","655","825"
"イ号零型","あさき","170","3","5","9.5","200","293","728"
"Vanity","Vivian","125-150","4","7","9.6","297","592","806"
"VALLIS-NERIA","DJ YOSHITAKA","185","4","8","10.4","276","745","911"
"We're so Happy","Ryu☆","185","5","8","10.4","248","724","915"
"Windy Fairy","DJ TOTTO","180","3","7","9.1","257","514","716"
"梅雪夜","Qrispy Joybox feat.mao","167","3","6","9.1","242","465","740"
"8 -eight-","Tom-H@ck feat.Nadia","230","4","6","9.5","300","399","669"
"Engraved Mark","Ryu☆ ∞ Des-ROW","188","4","8","9.7","335","518","733"
"Endless Chain ～2人でトリガーをひこう～","私立BEMANI学園軽音楽部","162","2","5","8","140","334","587"
"O JIYA","ASMAT & emi","151","3","6","9.5","212","385","567"
"OVERHEAT - Type J -","DOUBLE IMPACT","155","4","9.2","10.6","366","623","928"
"影縫い胤撒き","Akhuta","180","3","5","9.7","278","443","786"
"Cassis","肥塚良彦","176","3","6","8","210","497","660"
"カラフルミニッツ","Qrispy Joybox feat.mao","152","3","5","8","140","346","595"
"カラルの月","猫叉劇団","135","3","6","9.4","267","471","760"
"キケンな果実","達見 恵 featured by 佐野宏晃","174","2","6","9.0","242","372","688"
"caramel ribbon","P*Light","175","3","8","10.1","298","655","777"
"Gimme a Big Beat","kors k","138","3","6","9.5","352","581","933"
"キラキラ☆ステーション","Tatsh feat.Prico","176","5","8","9.5","413","585","679"
"quaver♪","Risk Junk","182-186","4","7","8","342","578","641"
"Clumsy thoughts","猫叉Master feat.*spiLa*","153","2","7","8","235","545","644"
"紅蓮の焔","劇団レコードfeat.浅葉リオ","155","3","6","9.4","189","381","600"
"恋する☆宇宙戦争っ!!","Prim","200","4","8","10.0","439","745","966"
"恋はどう？モロ◎波動OK☆方程式！！","あべにゅうぷろじぇくと feat. 佐倉紗織produced by ave;new","128","3","8","9.8","218","653","827"
"Go For The Top","U1 overground","180","4","8","9.5","261","562","708"
"Cosmic Hurricane","TAG","188","4","8","10.0","364","575","808"
"この青空の下で","TAG meets""eimy""","165","4","7","9.4","296","542","814"
"Gott","Hommarju","195","4","8","10.3","386","697","865"
"Concertino in Blue","佐々木博史","130-155","4","8","9.8","269","465","704"
"Confiserie","L.E.D. vs S-C-U","185","6","10.4","10.7","539","919","1021"
"防人恋歌","Ax feat. 夏川陽子","170","3","5","7","243","461","631"
"SEED","DJ YOSHITAKA","152","7","8","9.8","525","699","771"
"此岸の戯事","Akhuta","195","4","8","10.5","332","709","884"
"終末を追う者","S-C-U×PON","185","4","8","10.4","350","595","834"
"少年は空を辿る","Power Of Nature","140","7","9.4","10.5","552","894","1019"
"SILVER☆DREAM","jun","192","5","7","8","385","494","616"
"Sky Is The Limit","Sota F. feat.Anna","150","3","6","9.4","199","440","670"
"Squeeze","VENUS feat. Mutsuhiko Izumi","173","4","7","10.3","263","431","751"
"squall","猫叉Master+","190","5","6","9.2","298","529","657"
"Stand Alone Beat Masta","GUHROOVY","200","6","9.5","10.8","485","753","961"
"Stella Sinistra","Akhuta Philharmonic Orchestra","120-180","3","7","9.8","255","419","743"
"ストレイ・マーチ","少年ゾディアック","180","3","6","8","213","542","720"
"Straight Oath","矢鴇つかさ feat. 三澤秋","182","2","5","8","223","303","613"
"Snowfield Express","TIME CAPSULE Lab.","188","4","6","9.3","220","392","702"
"snow prism","Qrispy Joybox","196","3","7","8","264","522","636"
"spring pony","S-C-U","150","4","7","9.7","262","464","749"
"smooooch・∀・","kors k","177","3","8","10.1","255","637","772"
"蒼天","Tatsh","176","2","5","8","221","393","599"
"Sol Cosine Job 2","DJ TECHNORCH","190-200","6","9.5","10.7","512","725","993"
"TYCOON","SOUND HOLIC feat. Nana Takahashi","170","3","6","9.1","251","367","713"
"Dynasty","Yooh","189","4","8","10.3","378","626","908"
"TSAR BOMBA","L.E.D.","190","4","8","10.4","283","647","927"
"ツキミチヌ","CULTVOICE by S.S.D. PRODUCTS","146","2","5","7","199","388","583"
"DIAVOLO","度胸兄弟","160","4","9.6","10.6","357","692","905"
"December Breeze","dj silverberg","182","4","8","10.0","363","643","879"
"Daily Lunch Special","Lucky Vacuum","205","5","8","10.3","349","684","975"
"Twinkle Wonderland","Qrispy Joybox feat.Sana","188","4","6","8","202","393","617"
"True Blue","dj TAKA feat.AiMEE","164","4","9.7","10.2","342","702","904"
"Thor's Hammer","ユニバーサル度胸兄弟","150","4","8","10.5","312","517","810"
"轟け！恋のビーンボール！！","ダイナミック野球兄弟 v.s. クロスファイヤーPrim","180","3","7","10.0","292","523","791"
"DRAGON KILLER","96 vs. Mutsuhiko Izumi","210","3","6","9.6","277","410","789"
"Dragon Blade","Kozo Nakamura","120","5","8","10.4","407","688","914"
"NIGHT FLIGHT","小野秀幸","180","4","7","9.4","308","568","716"
"IX","dj TAKA VS DJ TOTTO feat.藍","198","4","9.5","10.7","430","802","984"
"New Gravity","Starving Trancer","154","3","7","8","247","507","555"
"New Decade","Sota F.","200","3","8","10.1","281","503","714"
"Never Look Back in Sorrow","AIKO OI","270","5","8","10.5","375","603","806"
"neu","少年ラジオ","199","4","7","10.2","386","546","881"
"HEART BEAT FORMULA","TAG","230","4","6","8","255","386","676"
"Happy","Sota Fujimori","190","5","7","8","331","478","601"
"PUNISHER","TAG×PON","180","4","7","9.2","336","631","928"
"PULSE LASER","ヒゲドライバー","165","3","7","9.5","276","463","694"
"Hello world!","Music by 源屋, Vocal by SOPHY","175","2","5","8","158","393","591"
"Beastie Starter","GUHROOVY","190","5","8","10.7","339","656","1000"
"V","TAKA","150","3","9.5","10.5","374","896","1044"
"フー・フローツ","Nanako","180","3","5","9.1","176","347","591"
"405nm (Ryu☆mix)","Another Infinity","177","7","9.6","10.3","511","770","908"
"PRANA","TAG","188","5","8","9.8","319","530","841"
"Fly with me","TAG","177","4","7","9.6","255","621","845"
"Plan 8","Ryu☆","212","4","8","10.2","444","666","888"
"Brand New World","VENUS","157","3","7","8","264","431","676"
"Flip Flap","kors k","175","3","7","8","342","529","683"
"BLUE STRAGGLER","L.E.D.","160","5","9.7","10.3","321","605","780"
"Proof of the existence","猫叉Master+","170","4","7","10.3","279","499","737"
"Broken","dj TAKA feat.AiMEE","148","4","8","10.1","248","562","729"
"heron","S-C-U","182","4","7","9.4","259","429","604"
"POINT ZERO","猫叉Master+","188","3","6","9.7","191","413","693"
"亡国のヒストリア","劇団レコード","140","4","6","8","221","413","563"
"Holy Snow","Mutsuhiko Izumi","130-160","5","8","9.8","254","615","735"
"Mynarco","positive MAD-crew","181","5","7","9.4","437","566","820"
"Magnetic","Sota Fujimori","160","5","8","9.6","368","578","795"
"Mirage","Mutsuhiko Izumi","170","4","6","9.7","263","442","770"
"milky ice bear","S-C-U","147","4","6","8","261","553","717"
"Move That Body","Expander","196","3","7","9.2","311","550","804"
"野球の遊び方　そしてその歴史　～決定版～","あさき大監督","141","3","6","9.5","291","430","796"
"Unicorn tail Dustboxxxx RMX","Dustboxxxx","200","4","8","10.2","322","644","808"
"Right on time(Ryu☆ Remix)","Ryu☆","149","4","6","9.4","263","465","638"
"Life Connection","world sequence","200","4","6","7","269","453","582"
"LUV CAN SAVE U","HIDEKI NAGANUMA","140","4","8","9.6","367","653","922"
"リメンバーリメンバー","rino & m@sumi from plastic penguin","182","3","6","8","207","357","555"
"le mirage","Vivian","160","2","6","8","249","454","664"
"Ray","源屋","175","2","7","8","244","458","642"
"Rainbow after snow","猫叉Master feat.林ももこ","179","2","5","8","171","321","701"
"RED ZONE","Tatsh＆NAOKI","165","4","8","10.3","309","612","871"
"恋愛観測","NU-KO","188","3","7","9.1","243","525","800"
"恋閃繚乱","2B-Waves","142","4","6","8","335","482","590"
"robin","S-C-U","190","4","6","8","263","417","567"
"Romancing Layer","TAG","150","3","9.4","10.2","200","558","717"
"朱と碧のランページ","NU-KO","178","3","7","9.3","292","527","753"
"athletic meet of sound toy","Mr.T","190","5","8","9.1","444","645","781"
"encounter","猫叉Master+","190","5","8","10.4","514","703","918"
"aura","Expander","175","3","6","9.4","301","397","736"
"御千手メディテーション","昇天家族","150-190","5","9.1","10.3","496","710","889"
"KHAMEN BREAK","くふおー","180","4","7","10.3","400","662","1042"
"Cleopatrysm","ピラミッ℃","190","5","8","10.6","375","570","860"
"コドモライブ","onoken feat.asami","140-146","2","6","8","228","403","631"
"STERLING SILVER","TAG","175","4","8","10.2","370","579","867"
"Spanish Snowy Dance","Mutsuhiko Izumi","180","3","7","8","291","496","611"
"7 Colors","kors k feat.吉河順央","156","2","6","9.0","199","399","645"
"time granular","ZUKI","176","4","7","9.1","301","516","719"
"Timberwolves","S-C-U","190","5","8","10.1","339","515","731"
"10,000,000,000","TAG feat. 96","205","3","8","9.1","190","495","702"
"ドーパミン","U1 overground","200","5","8","10.7","390","684","1077"
"Nature (jubeat version)","Mutsuhiko Izumi","230","5","9.7","10.5","411","590","756"
"猫侍の逆襲","猫叉Master","152","3","7","9.5","254","496","812"
"High School Love","DJ YOSHITAKA feat.DWP","180","2","6","8","253","462","786"
"passionate fate","Ryu☆","149","3","7","9.1","293","544","723"
"HYDRA","96","277","3","8","9.2","235","672","776"
"Follow Tomorrow","HHH×MM×ST","140","3","6","8","328","590","865"
"planarian","S-C-U","164","2","6","9.2","232","405","704"
"Blue Goose","Mutsuhiko Izumi","200","4","8","10.2","342","631","871"
"BLUE DRAGON","青龍","191","2","5","9.1","216","469","755"
"フレッフレー♪熱血チアガール","裏マドンナだ！Primちゃん","195","4","7","10.3","367","643","894"
"まるでマトリョーシカ","seiya-murai feat. ALT","155","3","6","8","274","494","614"
"Milchstrase","Buluka＆Nilo","189","2","5","9.1","240","374","694"
"Mono Logic","DJ NAGAI feat. Ayumi Nomiya","186","3","7","9.1","326","615","801"
"unisonote","onoken","168","2","6","9.2","186","457","799"
"Ausretious#1-まどろみ、或いは嘆色の夢-","EOOZ","168","4","7","10.4","358","569","850"
"アガット","Bazole","200","5","8","10.6","438","561","821"
"アレスの楯","劇団レコード","174","3","6","9.4","231","394","671"
"In The Breeze","96 & Sota ft. Mayumi Morinaga","123-142","3","7","9.8","205","491","637"
"We're so Happy[2]","Ryu☆","185","4","8","10.2","268","624","904"
"EBONY & IVORY","OSTER project","170","4","8","10.5","306","640","752"
"overcomplexification","かめりあ","190","4","8","10.4","314","599","790"
"きらきらタイム☆","さわわ","202","4","7","10.1","365","698","958"
"glacia","DJ TOTTO","186","6","9.2","10.3","494","750","945"
"glacia[2]","DJ TOTTO","186","6","9.5","10.6","504","789","936"
"Crack Traxxxx","Lite Show Magic (t+pazolite vs C-Show)","220","4","8","10.6","314","771","901"
"Chloé","DJ Totoriott","176","5","8","10.2","386","569","776"
"croiX","TeamGrimoire+あま猫","160-195","6","8","10.6","493","707","1000"
"Sacrifice for Justice","RoughSketch","190","3","7","10.3","365","535","860"
"citrus","kamome sano","174","4","7","9.7","296","502","747"
"Just Believe","小寺可南子","194","3","7","9.3","278","495","654"
"SWEET HOME PARTY","劇団レコード","134-180","4","7","9.6","279","445","617"
"ススススペースハリネズミ","S-C-U","182","4","8","10.5","312","594","738"
"Slluuddggee","Hommarju","83-174","4","9.2","10.3","373","741","924"
"超越してしまった彼女と其を生み落した理由","Ayatsugu_Otowa","178","4","8","10.3","377","595","896"
"天空の華","S-C-U × U1 overground","180","7","9.5","10.6","435","685","817"
"TWINKLING","猫叉Master feat.ミミニャミ","152","3","5","8","259","405","713"
"Two Pianists","小野秀幸","178","4","7","10.2","304","512","770"
"Too Late Snow","movies(moimoi × Xceon × Dai.)","138","3","5","9.2","236","433","803"
"Too Late Snow[2]","movies(moimoi × Xceon × Dai.)","138","4","9.2","10.5","355","723","906"
"トリカゴノ鳳凰[2]","L.E.D. Vs. 幽閉サテライト","185","3","8","10.3","316","585","974"
"Towards the TOWER","SHAMDEL","132","5","8","9.7","326","560","772"
"†渚の小悪魔ラヴリィ～レイディオ†[2]","夏色ビキニのPrim","190","6","8","10.3","380","560","790"
"夏色DIARY 俺のjubeat編","猫叉王子 feat.時を駆けるショッチョー","170","4","7","10.3","297","555","720"
"日天悦扇紊舞","Akhuta","192","3","7","9.3","255","488","749"
"Niflheimr","Qrispy Joybox","186","4","8","10.6","294","488","767"
"ビビットストリーム","DJ TOTTO","184","4","6","8","301","471","667"
"FLOWER[2]","DJ YOSHITAKA","173","6","8","10.4","402","683","950"
"freaky freak","kamome sano","145","4","7","10.2","395","596","874"
"炎のDiargos","Mutsuhiko Izumi","230","4","8","9.6","303","653","837"
"雪女","かねこちはる","200","5","9.2","10.1","318","717","798"
"Lovesick Lovetune","VALLEYSTONE feat. 紫崎 雪","135","3","6","9.4","248","433","627"
"Love ♡ km[2]","dj TAKA feat. REN","184","4","7","9.4","229","399","595"
"龍と少女とデコヒーレンス","黒猫ダンジョン","165","4","8","10.5","292","595","854"
"霖が哭く","Power Of Nature","154","6","9.6","10.5","490","735","828"
"Rock The Club","Expander","260","4","8","9.4","315","626","919"
"robin[2]","S-C-U","190","4","6","9.2","245","420","597"
"惑星☆ロリポップ","SOUND HOLIC feat. Nana Takahashi","180","5","7","9.9","402","578","797"
"Ark","kors k","145","3","6","9.8","253","494","671"
"aleatrik","nc ft. NRGFactory","138","3","6","8","310","526","731"
"アキネイション","ビートまりお（COOL&CREATE）","185","4","8","10.0","304","660","769"
"Against the vulgar aggressor","GUHROOVY","210","3","6","10.4","238","480","945"
"Invisible Border","world sequence","156","4","6","9.8","167","301","629"
"veRtrageS","Riz vs. Shiron","190","6","9.4","10.7","501","751","888"
"Valanga","DJ TOTTO","186","6","9.1","10.5","436","703","841"
"Vampire Killer","浅田 靖","128","3","7","9.7","202","508","705"
"Windy Fairy[2]","DJ TOTTO","180","4","7","9.3","278","465","690"
"ULTRA HAPPY MEGAMIX","DJ Genki","180","3","7","9.4","296","598","743"
"UROBOROS OVERDIVE","L.E.D. feat. YURiCa/花たん","160","3","7","9.3","264","574","855"
"枝に結ぶ願い[2]","Akhuta","204","4","7","9.5","357","519","735"
"Entrapment","Expander","150","4","8","9.4","433","645","798"
"CARNIVOROUS","SOUND HOLIC feat. Nana Takahashi","170","2","6","8","223","455","570"
"怪盗BisCoの予告状！！","Qrispy Joybox","200","2","7","9.2","222","482","657"
"KAMAITACHI","DJ TECHNORCH fw. GUHROOVY","165","5","9.7","10.7","428","820","906"
"キミとワタシのオンガク","seiya-murai feat. ALT","160","3","7","8","266","493","667"
"Qubellic Prism","Nazzo-Non-Heat","170","3","7","9.7","328","522","745"
"Glitter Flatter Scatter","Project B-","197","6","9.3","10.7","503","708","890"
"crêpe suzette","kamome sano","202","4","8","10.2","370","604","744"
"檄","Ryu☆ feat.青龍","191","3","8","10.5","212","476","659"
"ケンぱ！ケンぱ！拳拳ぱん打！","ぱんぱんぱん打","200","3","5","8","280","459","628"
"Cosminflation","山本真央樹","195","5","7","10.3","262","413","686"
"CIRCUS U CRIC","Nanako","185","4","7","8","254","485","662"
"Saturday Night Love","Sota feat. Brenda V.","128","2","5","7","196","392","619"
"The Omen","RoughSketch","185","5","8","10.4","340","586","772"
"Just a Game","Y&Co.","160","3","7","9.4","273","542","714"
"スカイダイバー","ヒゲドライバー feat.ヒゲドライVAN","180","3","6","8","215","408","606"
"Sky High","Cuvelia","153","4","10.6","10.6","381","872","798"
"SPACE VILLAGE","サイバー劇レコ","170","3","7","9.4","274","567","751"
"それは花火のような恋","夏色バーニングラブ☆Prim","182","3","7","9.3","232","528","840"
"旅の終わりと祝祭の夜","月船古書堂","148","5","8","10.3","344","632","778"
"CHERNOBOG","漆黒のEBONY","200","5","9.6","10.7","430","761","916"
"Destiny lovers","くにたけみゆき","170","3","6","9.4","165","333","685"
"天嘩乱舞","栗須承之介","184","3","8","10.0","310","656","847"
"トキメキストリーム","Qrispy Joybox","164","4","7","9.6","236","541","669"
"Triple Counter","DJ YOSHITAKA meets dj TAKA","216","6","9.2","10.4","451","800","921"
"NISHIMURA -祭- CARNIVAL","S-C-U x U1 feat. VENUS","158","3","7","8","265","561","646"
"にゃんのパレードマーチ♪","DJ TOTTO feat.にゃん","162","3","6","8","246","496","662"
"New York EVOLVED","NC underground","190","4","9.4","10.5","373","760","848"
"Knell","Project B-","205","4","7","9.5","304","523","712"
"爆なな☆てすとロイヤー","ARM feat.ななひら","200","5","9.1","10.0","322","657","736"
"Hunny Bunny","U1 overground","160","4","7","9.4","337","576","741"
"バビロニアの旅人たち","Babylonian Vates","175","3","6","9.0","342","587","751"
"Hollywood Galaxy","dj TAKA","186","5","8","10.3","347","589","701"
"ぱんだしんけん１、２、３ ～ちえ！おっしょさんにはかなわないや！～","おひさまくらぶ","158","2","5","8","236","417","618"
"びいすと！","ビートまりおとARM","200","4","7","10.0","202","376","736"
"秘密がーる♡乙女","MaMiKa（松下×mitsu×T.kakuta）","180","3","6","8","281","523","703"
"Four Leaves","Endorfin.","181","4","7","8","216","428","623"
"不可説不可説転","OSTER project","140","5","8","9.8","338","522","665"
"FUJIMORI -祭- FESTIVAL","VENUS","158","3","6","9.1","271","469","624"
"BLACK or WHITE?","BlackYooh vs. siromaru","185","4","9.1","10.5","350","745","911"
"Bleep Beep Bop","kors k","175","3","7","10.2","409","545","921"
"FLOOR INFECTION Medley from SOUND VOLTEX×jubeat","United Composers from SOUND VOLTEX","145-195","6","8","10.2","507","720","932"
"Boss Rush","USAO","190","4","7","9.6","386","608","775"
"POLICY BREAK Medley from SOUND VOLTEX×jubeat","United Composers from jubeat","93-311","5","8","10.6","402","706","1074"
"見習い天使と星降りの丘","DJ TOTTO","174","3","8","9.7","264","553","806"
"Mirage of the Mirror","SHAMDEL","122-163","5","8","9.6","326","630","763"
"夢有","Des-ROW・組","145-170","3","6","8","255","505","777"
"Megalara Garuda","SYUNN","180","10.4","10.5","10.7","932","912","914"
"RHYZING BEAT","PHQUASE","187","5","8","10.4","383","643","890"
"Lost wing at.0","猫叉Master+","185","4","8","9.3","255","496","690"
"ロプノールの商隊","Akhuta","186","3","7","9.6","280","514","733"
"分けるな危険！モモモモモモーイズム","ARM×狐夢想 feat. 桃井はるこ","200","4","8","9.6","258","572","710"
"Ausretious#1-まどろみ、或いは嘆色の夢-[2]","EOOZ","168","5","8","10.6","389","534","751"
"アガット[2]","Bazole","200","5","8","10.6","441","762","942"
"アドレナリン","U1 overground","140","4","8","9.8","377","592","661"
"EXUSIA","L.E.D.-G","188","4","8","10.4","357","722","860"
"イ号零型[2]","あさき","170","3","7","9.8","202","363","603"
"If","Pa's Lam System","170","3","7","9.8","203","481","685"
"In The Ruins","good-cool feat. CHiCO","156","5","8","10.2","412","618","767"
"Welcome!!","kors k","180","3","7","9.6","239","589","810"
"Aerial Skydive","Dirty Androids","175","3","7","9.0","319","455","693"
"AI","BEMANI Sound Team ""Sota F.""","190","5","8","10.5","340","691","853"
"Evans ～NOSTALGIA Ver. ～","DJ YOSHITAKA Arranged by まらしぃ","112-182","4","7","9.7","292","582","718"
"Everybody's Rich","REMO-CON","160","5","8","10.6","434","561","809"
"エレシュキガル","Noah","162","3","6","9.6","205","352","705"
"カラルの月[2]","猫叉劇団","135","4","7","9.3","299","472","699"
"変わりゆく時間とノスタルジアと","あずときだしゅんすけ","105-141","2","5","8","214","264","632"
"CandyPop★Showcase","OSTER project","170","4","6","8","283","430","701"
