"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"フラッター現象の顛末と単一指向性の感情論","日向美ビタースイーツ♪","206","4","6","9.5","263","425","690"
"MAGICAL SUMMER SMILE","wac feat. VENUS","195","2","7","8","163","481","675"
"M.A.Y.U.","Ryu☆ feat.MAYU","128","3","5","8","232","347","544"
"魔理沙は大変なものを盗んでいきました","ARM＋夕野ヨシミ (IOSYS) feat. 藤咲かりん","170","3","6","9.5","303","548","785"
"ミライプリズム(collaboration ver.)","ここなつ meets 日向美ビタースイーツ♪","140","5","7","8","358","496","628"
"エイリアンエイリアン","ナユタン星人","152","3","6","9.0","216","538","778"
"Angelic Jelly","t+pazolite","200","4","9.2","10.2","425","658","780"
"Endless, Sleepless Night","samfree feat.(V)・∀・(V)かにぱん。","165","3","6","9.3","234","558","848"
"お嫁にしなさいっ！","ARM+夕野ヨシミ (IOSYS)","180","3","7","9.0","229","413","552"
"眼光","猫大樹","165","3","6","7","308","500","687"
"キミヱゴサーチ","ここなつ","120","2","6","8","204","456","630"
"きゅん×きゅんばっきゅん☆LOVE","松下feat.Sota & wac","165","3","6","8","212","444","667"
"響縁","豚乙女","180","2","7","9.3","234","426","742"
"Good bye, Summer～さよならは言わない～","私立BEMANI学園軽音部 OB","165","3","7","8","202","397","642"
"倉野川音頭","日向美ビタースイーツ♪＆ひなちくん","113","1","4","7","124","336","512"
"黒髪乱れし修羅となりて～凛edition～","日向美ビタースイーツ♪","150","2","6","9.5","203","516","828"
"厳冬記","猫大樹","150","4","8","10.4","332","653","745"
"琥珀のくちづけ","日向美ビタースイーツ♪＆日向美ブルームーン","173","1","5","8","154","411","577"
"今夜はパジャマパーティ","日向美ビタースイーツ♪","148","3","6","8","205","405","548"
"Silent Story","発熱巫女～ず","126","2","6","7","175","377","563"
"じもとっこスイーツ♪","ホララ・ホリック with 日向美ビタースイーツ♪","108","2","6","8","155","352","522"
"JACK THE RIPPER feat. Iceon","猫大樹","145","2","6","10.3","130","408","810"
"Scream out!","A-One","166","2","6","9.5","219","484","812"
"Struggle[2]","Masayoshi Minoshima(ALR)","180","2","6","8","198","372","615"
"そこはかとなくロマンセ","日向美ビタースイーツ♪","140","2","6","8","172","339","503"
"蒼空に舞え、墨染の桜","Silver Forest feat. さゆり","150","3","6","9.0","265","438","743"
"月に叢雲華に風","幽閉サテライト feat. senya","160","3","7","9.0","276","414","617"
"Ding Dong Bell","A応P","157","3","6","7","259","354","583"
"DesireDrive","岸田教団＆THE明星ロケッツ","184","4","6","8","310","533","790"
"ドーナツホール","ハチ","252","4","5","8","223","479","704"
"nostos","Setaria Virtuoso","86-144","4","6","9.6","226","515","700"
"ハッピーシンセサイザ","Easy Pop","127","4","7","9.2","271","566","822"
"paranoia","つなまる","150","3","6","8","172","414","563"
"反撃","猫大樹","145","3","5","9.0","192","456","784"
"パンダヒーロー","ハチ","190","4","6","9.0","249","490","826"
"放課後ストライド","Last Note.","225","2","5","9.0","162","445","746"
"僕は空気が嫁ない","cosMo@暴走P","192","4","8","9.4","302","659","845"
"ポメグラネイト","ここなつ","130","3","6","8","222","445","668"
"Bonjour, The World!!","中島由貴 feat. dj TAKA with S-C-U meets Akhuta","158","3","7","9.0","273","507","708"
"マトリョシカ","ハチ","205-296","3","5","9.0","147","294","588"
"ミライプリズム","ここなつ","140","2","5","8","162","433","658"
"Runway Drive","舞花","160","3","6","8","182","353","495"
"炉心融解","iroha","165","2","5","8","154","334","608"
"ロンロンへ　ライライライ！","ここなつ","156","3","6","9.0","300","498","727"
"Initial song","40mP","90","1","3","6","73","158","295"
"快晴","Orangestar","172","3","6","9.2","169","404","701"
"Claidheamh Soluis-光の剣- feat.はるの","猫大樹","160","3","6","9.1","309","502","806"
"君氏危うくも近うよれ","A応P","162","3","6","8","162","381","581"
"現世の彼方","猫大樹","176","3","5","10.4","199","344","773"
"恋時雨","ときめきアイドル project","185","3","6","9.3","168","306","577"
"恋のパズルマジック","ときめきアイドル project Rhythmixxx","140","2","5","8","147","329","591"
"しゃかりきリレーション","ときめきアイドル project 結城秋葉","167","3","5","7","244","405","469"
"シャルル","バルーン","145","2","5","8","156","339","635"
"Strawberry Chu♡Chu♡","ときめきアイドル project クッキーパラダイス","137","4","6","8","304","535","719"
"Spring Rouge","izna","125","2","6","8","133","357","546"
"千本桜","黒うさP","154","3","7","9.0","225","449","678"
"闘え! ダダンダーン V","ときめきアイドル project","176","2","6","8","170","529","668"
"脱法ロック","Neru","155","3","6","8","185","408","632"
"超人ひじりのエアマッソー","IOSYS feat. ビートまりお","210","4","7","9.3","178","367","607"
"DREAMING-ING!!","ときめきアイドル project","180","3","5","8","177","393","516"
"Don't Break Me Down","A-One","163","3","7","9.0","206","425","707"
"花のやくそく","日向美ビタースイーツ♪","85","2","5","7","104","405","525"
"Paranoia","DiGiTAL WiNG feat. 花たん","150","4","8","9.0","389","733","965"
"ハルイチバン","ときめきアイドル project","180","3","6","9.0","186","428","647"
"向日葵サンセット","ARM・まろん (IOSYS) × ランコ・パプリカ (豚乙女)","135","3","6","9.1","172","457","647"
"フィクサー","ぬゆり","136","3","7","9.6","174","553","763"
"From⑨Girl","uno (IOSYS) × 越田Rute隆人&あき (A-One)","113","2","5","8","138","319","530"
"星を飛び越えて","Liz Triangle","167","2","6","8","112","270","431"
"リバースユニバース","ナユタン星人","139","3","7","9.1","336","613","872"
"ルミナスデイズ","ここなつ","145","2","4","7","140","272","430"
"ロールプレイングゲーム","そらまふうらさか","162","3","6","9.4","278","526","732"
"炉心融解[2]","iroha","165","2","6","8","168","403","632"
"アカリがやってきたぞっ","GYARI(ココアシガレットP)","136","3","7","9.4","278","450","694"
"[A]ddiction","EVO+","164","4","6","9.2","268","574","840"
"Afterimage d'automne","BEMANI Sound Team ""猫叉劇団""","232","4","6","9.6","237","423","708"
"Aftermath","BEMANI Sound Team ""猫叉Master & あさき & Yvya""","200","4","8","10.2","327","596","887"
"Alba","須田景凪","117","2","6","8","138","469","543"
"アンビバレント","Eve","188","2","6","8","125","393","472"
